,PermitType,PermitTypeDesc,PermitNum,PermitClassMapped,PermitClass,WorkClass,Condominium,ProjectName,TCAD_ID,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,StatusDate,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,Key,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ProjectID,MasterPermitNum,Latitude,Longitude,Location,BlockGroupCode
0,BP,Building Permit,2017-160562 BP,Residential,R- 101 Single Family Houses,New,No,3805 ALPINE AUTUMN DR,318181209,12/15/2017,12/29/2017,FRIDAY,2017,5/31/2018,11/27/2018,,,,"1,992",,"$87,540.00 ",1.0,1,1,3805 ALPINE AUTUMN DR,AUSTIN,TX,78744,11843769,11838553.0,30.20036977,-97.69801051,"(30.20036977, -97.69801051)",484530000000
1,BP,Building Permit,2017-160088 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,3405 PECAN SPRINGS RD,215210206,11/15/2017,12/28/2017,THURSDAY,2017,5/31/2018,11/20/2018,,,"1,700",0,$0.00 ,"$75,000.00 ",1.0,1,2,3405 PECAN SPRINGS RD,AUSTIN,TX,78723,11843197,11823995.0,30.29052054,-97.6814552,"(30.29052054, -97.6814552)",484530000000
2,BP,Building Permit,2017-158621 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1400 KINNEY AVE,102051114,11/29/2017,12/22/2017,FRIDAY,2017,5/31/2018,11/27/2018,,,600,0,"$20,000.00 ","$20,000.00 ",1.0,1,3,1400 KINNEY AVE,AUSTIN,TX,78704,11841477,11829441.0,30.25484151,-97.76688085,"(30.25484151, -97.76688085)",484530013033
3,BP,Building Permit,2017-158054 BP,Residential,R- 101 Single Family Houses,New,Yes,10201 JACKSBORO TRL,R538929,11/22/2017,12/21/2017,THURSDAY,2017,5/31/2018,11/27/2018,,,,"2,033",,"$450,000.00 ",2.0,1,4,10201 JACKSBORO TRL,AUSTIN,TX,78717,11840787,11827625.0,30.47781998,-97.78236798,"(30.47781998, -97.78236798)",484530000000
4,BP,Building Permit,2017-158042 BP,Residential,R- 101 Single Family Houses,New,No,4517 PLACID PL,126010926,10/25/2017,12/29/2017,FRIDAY,2017,5/31/2018,11/27/2018,,,,"3,623",,"$196,515.00 ",2.0,1,5,4517 PLACID PL,AUSTIN,TX,78731,11840770,11813508.0,30.32247564,-97.75322179,"(30.32247564, -97.75322179)",484530001012
5,BP,Building Permit,2017-157533 BP,Residential,R- 102 Secondary Apartment,New,No,7206 CARVER AVE,229150206,11/29/2017,12/27/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"1,450",,"$125,000.00 ",2.0,1,6,7206 CARVER AVE,AUSTIN,TX,78752,11840158,11829799.0,30.33115273,-97.69924164,"(30.33115273, -97.69924164)",484530018123
6,BP,Building Permit,2017-157532 BP,Residential,R- 101 Single Family Houses,New,No,7206 CARVER AVE,229150206,11/29/2017,12/27/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"1,755",,"$225,000.00 ",2.0,1,7,7206 CARVER AVE,AUSTIN,TX,78752,11840157,11829799.0,30.33115273,-97.69924164,"(30.33115273, -97.69924164)",484530018123
7,BP,Building Permit,2017-156065 BP,Residential,R- 101 Single Family Houses,New,No,5804 SOUTHERNER WAY,443051206,12/13/2017,12/15/2017,FRIDAY,2017,5/31/2018,11/27/2018,,,,"2,096",,"$95,160.00 ",1.0,1,8,5804 SOUTHERNER WAY,AUSTIN,TX,78747,11838335,11836903.0,30.13630505,-97.76971129,"(30.13630505, -97.76971129)",484530000000
8,BP,Building Permit,2017-155876 BP,Residential,R- 101 Single Family Houses,New,No,14616 IVEANS WAY,,11/20/2017,12/15/2017,FRIDAY,2017,5/31/2018,11/27/2018,,,,"4,324",,"$545,000.00 ",2.0,1,9,14616 IVEANS WAY,AUSTIN,TX,78717,11838114,11826399.0,30.48982999,-97.75478885,"(30.48982999, -97.75478885)",484530000000
9,BP,Building Permit,2017-155785 BP,Residential,R- 101 Single Family Houses,New,No,709 THRASHER GLADE DR,268280635,12/12/2017,12/15/2017,FRIDAY,2017,5/31/2018,5/31/2018,5/31/2018,,,"2,951",,"$187,125.00 ",1.0,1,10,709 THRASHER GLADE DR,AUSTIN,TX,78660,11838008,11836339.0,30.43183446,-97.65742813,"(30.43183446, -97.65742813)",484530000000
10,BP,Building Permit,2017-155366 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,3012 PIN OAK CT,403070627,10/13/2017,12/18/2017,MONDAY,2017,5/31/2018,11/27/2018,,,"1,242",933,$0.00 ,"$170,000.00 ",1.0,1,11,3012 PIN OAK CT,AUSTIN,TX,78704,11837519,11806589.0,30.23867872,-97.77489665,"(30.23867872, -97.77489665)",484530013041
11,BP,Building Permit,2017-155195 BP,Residential,R- 101 Single Family Houses,New,No,12813 CARDINAL FLOWER DR,432400409,11/15/2017,12/21/2017,THURSDAY,2017,5/31/2018,11/27/2018,,,,"3,233",,"$191,325.00 ",2.0,1,12,12813 CARDINAL FLOWER DR,AUSTIN,TX,78739,11837283,11824361.0,30.16657052,-97.88827536,"(30.16657052, -97.88827536)",484530000000
12,BP,Building Permit,2017-154279 BP,Residential,R- 101 Single Family Houses,New,No,5820 SOUTHERNER WAY,443051202,12/8/2017,12/13/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"2,096",,"$95,160.00 ",1.0,1,13,5820 SOUTHERNER WAY,AUSTIN,TX,78747,11836008,11834514.0,30.13606325,-97.76917347,"(30.13606325, -97.76917347)",484530000000
13,BP,Building Permit,2017-153547 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,4511 AVENUE H,221080906,10/4/2017,12/19/2017,TUESDAY,2017,5/31/2018,11/27/2018,,,"1,798",205,"$93,700.00 ","$119,700.00 ",1.0,2,14,4511 AVENUE H,AUSTIN,TX,78751,11835112,11801494.0,30.30799981,-97.72491547,"(30.30799981, -97.72491547)",484530003051
14,BP,Building Permit,2017-151267 BP,Residential,R- 101 Single Family Houses,New,No,4809 PLACID PL,128001321,10/16/2017,12/5/2017,TUESDAY,2017,5/31/2018,11/27/2018,,,,"3,740",,"$350,000.00 ",2.0,1,15,4809 PLACID PL,AUSTIN,TX,78731,11832226,11807646.0,30.32517232,-97.75205906,"(30.32517232, -97.75205906)",484530001012
15,BP,Building Permit,2017-151172 BP,Residential,R- 101 Single Family Houses,New,Yes,801 NORTH BLUFF DR BLDG 50,422050401,9/25/2017,12/6/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"1,370",,"$145,000.00 ",2.0,1,16,801 NORTH BLUFF DR BLDG 50,AUSTIN,TX,78745,11832098,11796254.0,30.19354336,-97.77200446,"(30.19354336, -97.77200446)",484530024024
16,BP,Building Permit,2017-150996 BP,Residential,R- 101 Single Family Houses,New,No,5904 KENNEDY ST,443050909,12/1/2017,12/7/2017,THURSDAY,2017,5/31/2018,11/27/2018,,,,"1,871",,"$83,460.00 ",1.0,1,17,5904 KENNEDY ST,AUSTIN,TX,78747,11831875,11831147.0,30.13761776,-97.76865444,"(30.13761776, -97.76865444)",484530000000
17,BP,Building Permit,2017-134313 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,2409 SPRING CREEK DR,104070406,8/25/2017,10/24/2017,TUESDAY,2017,5/31/2018,5/31/2018,5/31/2018,,0,168,"$150,000.00 ","$200,000.00 ",1.0,1,18,2409 SPRING CREEK DR,AUSTIN,TX,78704,11812197,11779486.0,30.259656099999997,-97.77658705,"(30.2596561, -97.77658705)",484530019011
18,BP,Building Permit,2017-133918 BP,Residential,R- 101 Single Family Houses,New,No,10809 ALBERO CV,420530710,8/18/2017,10/24/2017,TUESDAY,2017,5/31/2018,11/27/2018,,,,"5,720",,"$335,775.00 ",2.0,1,19,10809 ALBERO CV,AUSTIN,TX,78739,11811722,11775874.0,30.20347971,-97.91570496,"(30.20347971, -97.91570496)",484530000000
19,BP,Building Permit,2017-133545 BP,Residential,R- 101 Single Family Houses,New,Yes,13908 ZINK BND,R538929,10/6/2017,10/25/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"2,742",,"$350,000.00 ",2.0,1,20,13908 ZINK BND,AUSTIN,TX,78717,11811306,11803118.0,30.47740864,-97.78270594,"(30.47740864, -97.78270594)",484530000000
20,BP,Building Permit,2017-133544 BP,Residential,R- 101 Single Family Houses,New,Yes,2016 TEAGLE DR,309030401,10/6/2017,10/25/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"1,392",,$0.00 ,2.0,1,21,2016 TEAGLE DR,AUSTIN,TX,78741,11811295,11803007.0,30.22521999,-97.73913863,"(30.22521999, -97.73913863)",484530000000
21,BP,Building Permit,2017-133045 BP,Residential,R- 102 Secondary Apartment,New,No,4802 SANTA ANNA ST,209191409,9/27/2017,11/1/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"1,233",,"$150,000.00 ",1.0,1,22,4802 SANTA ANNA ST,AUSTIN,TX,78721,11810653,11797540.0,30.27485483,-97.68666408,"(30.27485483, -97.68666408)",484530021101
22,BP,Building Permit,2017-133044 BP,Residential,R- 101 Single Family Houses,New,No,4802 SANTA ANNA ST,209191409,9/27/2017,11/1/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"2,110",,"$200,000.00 ",2.0,1,23,4802 SANTA ANNA ST,AUSTIN,TX,78721,11810652,11797540.0,30.27485483,-97.68666408,"(30.27485483, -97.68666408)",484530021101
23,BP,Building Permit,2017-131347 BP,Residential,R- 101 Single Family Houses,New,No,6917 AGRIGENTO DR,431570501,9/27/2017,10/18/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"4,010",,"$234,525.00 ",2.0,1,24,6917 AGRIGENTO DR,AUSTIN,TX,78652,11808631,11797701.0,30.16751399,-97.91768714,"(30.16751399, -97.91768714)",484530000000
24,BP,Building Permit,2017-128362 BP,Residential,R- 330  Accessory Use to Primary,New,No,1123 1/2 GUNTER ST,206150222,4/21/2017,11/15/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,220,,"$25,000.00 ",1.0,1,25,1123 1/2 GUNTER ST,AUSTIN,TX,78702,11805041,11709489.0,30.26671224,-97.69779966,"(30.26671224, -97.69779966)",484530000000
25,BP,Building Permit,2017-128361 BP,Residential,R- 102 Secondary Apartment,New,No,1123 1/2 GUNTER ST,206150222,4/21/2017,11/15/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"1,482",,"$125,000.00 ",1.0,1,26,1123 1/2 GUNTER ST,AUSTIN,TX,78702,11805040,11709489.0,30.26671224,-97.69779966,"(30.26671224, -97.69779966)",484530000000
26,BP,Building Permit,2017-128360 BP,Residential,R- 101 Single Family Houses,New,No,1123 1/2 GUNTER ST,206150222,4/21/2017,11/15/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"2,014",,"$200,000.00 ",2.0,1,27,1123 1/2 GUNTER ST,AUSTIN,TX,78702,11805039,11709489.0,30.26671224,-97.69779966,"(30.26671224, -97.69779966)",484530000000
27,BP,Building Permit,2017-128235 BP,Residential,R- 102 Secondary Apartment,New,No,2605 OAK CREST AVE,404040904,7/26/2017,10/11/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"1,548",,"$50,000.00 ",2.0,1,28,2605 OAK CREST AVE,AUSTIN,TX,78704,11804883,11762483.0,30.2399966,-97.76379102,"(30.2399966, -97.76379102)",484530013072
28,BP,Building Permit,2017-128234 BP,Residential,R- 101 Single Family Houses,New,No,2605 OAK CREST AVE,404040904,7/26/2017,10/11/2017,WEDNESDAY,2017,5/31/2018,11/27/2018,,,,"3,000",,"$80,000.00 ",2.0,1,29,2605 OAK CREST AVE,AUSTIN,TX,78704,11804882,11762483.0,30.2399966,-97.76379102,"(30.2399966, -97.76379102)",484530013072
29,BP,Building Permit,2017-126494 BP,Residential,R- 101 Single Family Houses,New,No,12800 ORIHUELA DRIVE  *PRODUCTION BUILDER*,432530301,9/13/2017,10/9/2017,MONDAY,2017,5/31/2018,11/27/2018,,,,"3,974",,"$219,975.00 ",2.0,1,30,12800 ORIHUELA DR,AUSTIN,TX,78652,11802909,11789713.0,30.16941435,-97.91593677,"(30.16941435, -97.91593677)",484530000000
30,BP,Building Permit,2017-126387 BP,Residential,R- 101 Single Family Houses,New,No,15701 SAMUEL TRL,R544337,9/15/2017,10/9/2017,MONDAY,2017,5/31/2018,5/31/2018,5/31/2018,,,"5,509",,"$600,990.00 ",2.0,1,31,15701 SAMUEL TRL,AUSTIN,TX,78717,11802749,11791018.0,30.49808514,-97.75293851,"(30.49808514, -97.75293851)",484530000000
31,BP,Building Permit,2017-125396 BP,Residential,R- 102 Secondary Apartment,New,No,1903 W 30TH ST,118020311,9/13/2017,10/6/2017,FRIDAY,2017,5/31/2018,11/27/2018,,,,933,,"$100,000.00 ",1.0,1,32,1903 W 30TH ST,AUSTIN,TX,78703,11801581,11789298.0,30.30370452,-97.75745752,"(30.30370452, -97.75745752)",484530016032
32,BP,Building Permit,2017-125395 BP,Residential,R- 101 Single Family Houses,New,No,1903 W 30TH ST,118020311,9/13/2017,10/6/2017,FRIDAY,2017,5/31/2018,11/27/2018,,,,"2,257",,"$150,000.00 ",3.0,1,33,1903 W 30TH ST,AUSTIN,TX,78703,11801580,11789298.0,30.30370452,-97.75745752,"(30.30370452, -97.75745752)",484530016032
33,BP,Building Permit,2017-125024 BP,Residential,R- 102 Secondary Apartment,New,No,2606 OAKLAWN AVE,212100408,6/21/2017,10/5/2017,THURSDAY,2017,5/31/2018,11/27/2018,,,,"1,367",,"$120,000.00 ",2.0,1,34,2606 OAKLAWN AVE,AUSTIN,TX,78722,11801141,11743591.0,30.28425351,-97.71467775,"(30.28425351, -97.71467775)",484530004022
